"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Dazz Newsome","CHI","3.3","42.5","0.2","0.0","0.0","0.0","0.0","5.5"
"Trent Taylor","CIN","3.9","40.1","0.2","0.0","0.0","0.0","0.0","5.4"
"Quez Watkins","PHI","2.9","37.8","0.2","0.0","0.0","0.0","0.0","4.8"
"J.J. Arcega-Whiteside","PHI","2.2","31.0","0.2","0.0","0.0","0.0","0.0","4.0"
"Marcus Kemp","KC","2.4","29.1","0.2","0.0","0.0","0.0","0.0","3.9"
"Devin Funchess","GB","2.0","26.2","0.2","0.0","0.0","0.0","0.0","3.8"
"Isaac Whitney","ARI","2.1","24.1","0.2","0.0","0.0","0.0","0.0","3.4"
"Simi Fehoko","DAL","2.0","25.2","0.2","0.0","0.0","0.0","0.0","3.4"
"Justin Watson","TB","1.9","23.5","0.2","0.0","0.0","0.0","0.0","3.3"
"Terry Godwin","JAC","2.0","22.4","0.2","0.0","0.0","0.0","0.0","3.3"
"Brandon Powell","BUF","2.0","21.8","0.2","0.0","0.0","0.0","0.0","3.2"
"K.J. Hill Jr.","LAC","1.4","16.7","0.1","1.0","6.2","0.0","0.0","2.9"
"Braxton Berrios","NYJ","1.5","17.4","0.1","1.0","5.8","0.0","0.0","2.9"
"Racey McMath","TEN","1.6","19.1","0.2","0.0","0.0","0.0","0.0","2.8"
"Allen Hurns","MIA","1.6","16.7","0.2","0.0","0.0","0.0","0.0","2.8"
"Travis Benjamin","SF","1.2","17.8","0.2","0.0","0.0","0.0","0.0","2.7"
"Equanimeous St. Brown","GB","1.3","17.1","0.2","0.0","0.0","0.0","0.0","2.7"
"Mike Strachan","IND","1.6","20.1","0.1","0.0","0.0","0.0","0.0","2.7"
"Dezmon Patmon","IND","1.6","20.1","0.1","0.0","0.0","0.0","0.0","2.7"
"Seth Williams","DEN","1.7","20.3","0.1","0.0","0.0","0.0","0.0","2.7"
"Malik Taylor","GB","1.2","13.8","0.2","0.0","0.0","0.0","0.0","2.4"
"Malcolm Perry","MIA","0.9","9.1","0.0","1.8","9.4","0.1","0.0","2.3"
"Kendall Hinton","DEN","1.1","12.1","0.0","1.2","6.4","0.0","0.0","1.9"
"Trent Sherfield","SF","1.1","14.6","0.1","0.0","0.0","0.0","0.0","1.8"
"Isaiah Ford","MIA","1.6","15.0","0.1","0.0","0.0","0.0","0.0","1.8"
"Brandon Zylstra","CAR","1.2","14.1","0.0","0.0","0.0","0.0","0.0","1.7"
"Joe Reed","LAC","0.8","9.4","0.0","0.9","4.8","0.0","0.0","1.4"
"Matt Cole","NYJ","0.9","9.5","0.0","0.9","4.3","0.0","0.0","1.4"
"DeMichael Harris","IND","0.7","8.0","0.0","0.9","4.8","0.0","0.0","1.3"
"Trey Quinn","LV","1.2","12.3","0.0","0.0","0.0","0.0","0.0","1.2"
"Antonio Callaway","KC","0.9","11.1","0.0","0.0","0.0","0.0","0.0","1.2"
