,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
127,Kene Nwangwu,MIN,RB,16.3,65.3,0.1,2.5,18.1,0.0,0.0,0.0,0.0,0,0.0,0.0
128,Gerrid Doaks,MIA,RB,8.1,33.9,0.3,4.5,32.8,0.1,0.1,0.0,0.0,0,0.0,0.0
129,Demetric Felton,CLE,RB,9.3,39.4,0.4,1.9,15.2,0.1,0.0,0.0,0.0,0,0.0,0.0
130,Reggie Bonnafon,CAR,RB,14.3,52.3,0.1,2.9,21.5,0.0,0.0,0.0,0.0,0,0.0,0.0
131,Alex Armah,NO,RB,4.2,17.4,0.2,4.2,34.7,0.2,0.1,0.0,0.0,0,0.0,0.0
132,Andrew Beck,DEN,RB,4.9,21.2,0.2,4.1,28.1,0.2,0.0,0.0,0.0,0,0.0,0.0
133,Khalil Herbert,CHI,RB,8.3,34.5,0.2,2.1,16.2,0.1,0.0,0.0,0.0,0,0.0,0.0
134,Buddy Howell,HOU,RB,4.0,17.1,0.2,4.1,29.1,0.2,0.0,0.0,0.0,0,0.0,0.0
135,Nick Bellore,SEA,RB,1.5,6.6,0.0,4.4,32.0,0.3,0.0,0.0,0.0,0,0.0,0.0
136,Gabe Nabers,LAC,RB,3.3,14.4,0.1,3.2,25.0,0.2,0.1,0.0,0.0,0,0.0,0.0
137,Keith Smith,ATL,RB,3.2,13.7,0.1,3.4,26.1,0.2,0.1,0.0,0.0,0,0.0,0.0
138,Antonio Williams,BUF,RB,8.0,34.1,0.3,0.4,3.2,0.0,0.0,0.0,0.0,0,0.0,0.0
139,Kalen Ballage,PIT,RB,6.9,27.2,0.2,1.8,11.8,0.0,0.1,0.0,0.0,0,0.0,0.0
140,Andy Janovich,CLE,RB,1.0,4.3,0.0,3.9,32.7,0.2,0.0,0.0,0.0,0,0.0,0.0
